Frequency,NumbaAve,NumbaMedian,SetAve,SetMedian,ListAve,ListMedian
0,8.415000320383114e-06,6.000000212225132e-06,2.6355000136391028e-05,2.1750000087195076e-05,2.5060000098164892e-05,1.7100000150094274e-05
1,4.462999986571958e-05,4.0899998566601425e-05,0.00029002000028413024,0.00024709999979677377,0.00011783000009017997,0.00010664999990694923
2,0.00020323999979154905,0.00019264999991719378,0.002174465000280179,0.0021692000000257394,0.0005421599996225269,0.00048615000014251564
3,0.0008486149999043846,0.0008522500002072775,0.0312917400002334,0.030222149998735404,0.005612474999816186,0.0030046999991100165
4,0.004593664999993053,0.0046300000003611785,0.5193808699999863,0.4910518500009857,0.010652435000065453,0.01054405000013503
5,0.014018155000030674,0.013759800000116229,8.835553059999892,8.684711149999202,0.06584363500023756,0.06247525000071619
6,0.06076513999987583,0.058743749998939165,0,0,0.3326058849997935,0.3373724499997479
7,0.23901033999991342,0.2367823500007944,0,0,1.718740809999963,1.6440924499993343
8,1.04725946999979,1.0294990500005952,0,0,10.189225265000369,10.30090835000101
9,4.93043869000021,4.910670300000675,0,0,0,0
10,0,0,0,0,0,0
